Scenario,Metric,T0=0.5,,,,,T0=2.0,,,,,T0=4.0,,,,
,,PI,QaL-Full,QaL-Under,QaL-Over,PI,QaL-Full,QaL-Under,QaL-Over,PI,QaL-Full,QaL-Under,QaL-Over
SP change,IAE,634.875196,271.537985,268.463620,294.790312,635.205558,340.252725,344.112401,343.028062,635.599570,526.749351,547.948170,490.445118
,Max u,30.150000,29.169363,29.169363,29.169363,30.150000,29.169363,29.169363,29.169363,30.150000,29.169363,29.169363,29.169363
,Max overshoot,0.000000,0.000000,0.000000,0.363359,0.000000,0.000000,0.122430,0.000000,0.000000,0.000000,2.027963,0.428463
Disturbance,IAE,301.139434,71.338852,83.551551,89.302321,300.993774,135.389785,113.554943,125.586267,300.820344,237.451707,437.182174,198.739160
,Max u,0.298963,0.444034,0.420557,0.383269,0.298942,0.535356,0.760766,0.803635,0.298917,0.314389,0.340667,0.312015
,Max overshoot,6.763554,4.528332,5.419318,4.956216,7.680369,7.804173,6.573499,8.493042,9.619460,9.774864,10.308332,9.155373
